orderID,productID,unitPrice,quantity,discount,customerID,orderDate,requiredDate,shippedDate,productName,categoryName
10248,11,14,12,0,VINET,04/07/2013,01/08/2013,16/07/2013,Queso Cabrales,Dairy Products
10248,42,9.8,10,0,VINET,04/07/2013,01/08/2013,16/07/2013,Singaporean Hokkien Fried Mee,Grains & Cereals
10248,72,34.8,5,0,VINET,04/07/2013,01/08/2013,16/07/2013,Mozzarella di Giovanni,Dairy Products
10249,14,18.6,9,0,TOMSP,05/07/2013,16/08/2013,10/07/2013,Tofu,Produce
10249,51,42.4,40,0,TOMSP,05/07/2013,16/08/2013,10/07/2013,Manjimup Dried Apples,Produce
10250,41,7.7,10,0,HANAR,08/07/2013,05/08/2013,12/07/2013,Jack's New England Clam Chowder,Seafood
10250,51,42.4,35,0.15,HANAR,08/07/2013,05/08/2013,12/07/2013,Manjimup Dried Apples,Produce
10250,65,16.8,15,0.15,HANAR,08/07/2013,05/08/2013,12/07/2013,Louisiana Fiery Hot Pepper Sauce,Condiments
10251,22,16.8,6,0.05,VICTE,08/07/2013,05/08/2013,15/07/2013,Gustaf's Knackebröd,Grains & Cereals
10251,57,15.6,15,0.05,VICTE,08/07/2013,05/08/2013,15/07/2013,Ravioli Angelo,Grains & Cereals
10251,65,16.8,20,0,VICTE,08/07/2013,05/08/2013,15/07/2013,Louisiana Fiery Hot Pepper Sauce,Condiments
10252,20,64.8,40,0.05,SUPRD,09/07/2013,06/08/2013,11/07/2013,Sir Rodney's Marmalade,Confections
10252,33,2,25,0.05,SUPRD,09/07/2013,06/08/2013,11/07/2013,Geitost,Dairy Products
10252,60,27.2,40,0,SUPRD,09/07/2013,06/08/2013,11/07/2013,Camembert Pierrot,Dairy Products
10253,31,10,20,0,HANAR,10/07/2013,24/07/2013,16/07/2013,Gorgonzola Telino,Dairy Products
10253,39,14.4,42,0,HANAR,10/07/2013,24/07/2013,16/07/2013,Chartreuse verte,Beverages
10253,49,16,40,0,HANAR,10/07/2013,24/07/2013,16/07/2013,Maxilaku,Confections
10254,24,3.6,15,0.15,CHOPS,11/07/2013,08/08/2013,23/07/2013,Guarana Fantastica,Beverages
10254,55,19.2,21,0.15,CHOPS,11/07/2013,08/08/2013,23/07/2013,Pâté chinois,Meat & Poultry
10254,74,8,21,0,CHOPS,11/07/2013,08/08/2013,23/07/2013,Longlife Tofu,Produce
10255,2,15.2,20,0,RICSU,12/07/2013,09/08/2013,15/07/2013,Chang,Beverages
10255,16,13.9,35,0,RICSU,12/07/2013,09/08/2013,15/07/2013,Pavlova,Confections
10255,36,15.2,25,0,RICSU,12/07/2013,09/08/2013,15/07/2013,Inlagd Sill,Seafood
10255,59,44,30,0,RICSU,12/07/2013,09/08/2013,15/07/2013,Raclette Courdavault,Dairy Products
10256,53,26.2,15,0,WELLI,15/07/2013,12/08/2013,17/07/2013,Perth Pasties,Meat & Poultry
10256,77,10.4,12,0,WELLI,15/07/2013,12/08/2013,17/07/2013,Original Frankfurter Grüne Soße,Condiments
10257,27,35.1,25,0,HILAA,16/07/2013,13/08/2013,22/07/2013,Schoggi Schokolade,Confections
10257,39,14.4,6,0,HILAA,16/07/2013,13/08/2013,22/07/2013,Chartreuse verte,Beverages
10257,77,10.4,15,0,HILAA,16/07/2013,13/08/2013,22/07/2013,Original Frankfurter Grüne Soße,Condiments
10258,2,15.2,50,0.2,ERNSH,17/07/2013,14/08/2013,23/07/2013,Chang,Beverages
10258,5,17,65,0.2,ERNSH,17/07/2013,14/08/2013,23/07/2013,Chef Anton's Gumbo Mix,Condiments
10258,32,25.6,6,0.2,ERNSH,17/07/2013,14/08/2013,23/07/2013,Mascarpone Fabioli,Dairy Products
10259,21,8,10,0,CENTC,18/07/2013,15/08/2013,25/07/2013,Sir Rodney's Scones,Confections
10259,37,20.8,1,0,CENTC,18/07/2013,15/08/2013,25/07/2013,Gravad lax,Seafood
10260,41,7.7,16,0.25,OTTIK,19/07/2013,16/08/2013,29/07/2013,Jack's New England Clam Chowder,Seafood
10260,57,15.6,50,0,OTTIK,19/07/2013,16/08/2013,29/07/2013,Ravioli Angelo,Grains & Cereals
10260,62,39.4,15,0.25,OTTIK,19/07/2013,16/08/2013,29/07/2013,Tarte au sucre,Confections
10260,70,12,21,0.25,OTTIK,19/07/2013,16/08/2013,29/07/2013,Outback Lager,Beverages
10261,21,8,20,0,QUEDE,19/07/2013,16/08/2013,30/07/2013,Sir Rodney's Scones,Confections
10261,35,14.4,20,0,QUEDE,19/07/2013,16/08/2013,30/07/2013,Steeleye Stout,Beverages
10262,5,17,12,0.2,RATTC,22/07/2013,19/08/2013,25/07/2013,Chef Anton's Gumbo Mix,Condiments
10262,7,24,15,0,RATTC,22/07/2013,19/08/2013,25/07/2013,Uncle Bob's Organic Dried Pears,Produce
10262,56,30.4,2,0,RATTC,22/07/2013,19/08/2013,25/07/2013,Gnocchi di nonna Alice,Grains & Cereals
10263,16,13.9,60,0.25,ERNSH,23/07/2013,20/08/2013,31/07/2013,Pavlova,Confections
10263,24,3.6,28,0,ERNSH,23/07/2013,20/08/2013,31/07/2013,Guarana Fantastica,Beverages
10263,30,20.7,60,0.25,ERNSH,23/07/2013,20/08/2013,31/07/2013,Nord-Ost Matjeshering,Seafood
10263,74,8,36,0.25,ERNSH,23/07/2013,20/08/2013,31/07/2013,Longlife Tofu,Produce
10264,2,15.2,35,0,FOLKO,24/07/2013,21/08/2013,23/08/2013,Chang,Beverages
10264,41,7.7,25,0.15,FOLKO,24/07/2013,21/08/2013,23/08/2013,Jack's New England Clam Chowder,Seafood
